station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MSP,1/1/23 0:53,33,28,81.3,240,8,0,29.72,1007.3,9,null,BKN,null,null,null,1200,null,null,null,null,null,null,null,null,null,null,25.47,KMSP 010653Z 24008KT 9SM BKN012 01/M02 A2972 RMK AO2 SLP073 T00061022,null
MSP,1/1/23 1:53,30.9,28,88.84,250,8,0,29.74,1007.8,8,null,BKN,null,null,null,1100,null,null,null,null,null,null,null,null,null,null,22.76,KMSP 010753Z 25008KT 8SM BKN011 M01/M02 A2974 RMK AO2 SLP078 T10061022,null
MSP,1/1/23 1:54,30.9,28,88.84,260,8,0,29.74,null,8,null,BKN,null,null,null,800,null,null,null,null,null,null,null,null,null,null,22.76,KMSP 010754Z 26008KT 8SM BKN008 M01/M02 A2974 RMK AO2 T10061022,null
MSP,1/1/23 2:53,30,27,88.44,250,5,0,29.78,1009.1,7,null,OVC,null,null,null,600,null,null,null,null,null,null,null,null,null,null,24.02,KMSP 010853Z 25005KT 7SM OVC006 M01/M03 A2978 RMK AO2 SLP091 T10111028 53022,null
MSP,1/1/23 3:32,28,26.1,92.46,260,7,0,29.78,null,5,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,19.9,KMSP 010932Z 26007KT 5SM BR OVC004 M02/M03 A2978 RMK AO2 T10221033,null
MSP,1/1/23 3:53,28,26.1,92.46,270,6,0,29.78,1009.4,5,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,20.71,KMSP 010953Z 27006KT 5SM BR OVC004 M02/M03 A2978 RMK AO2 SLP094 T10221033,null
MSP,1/1/23 4:45,28.9,26.1,89.12,260,6,0,29.79,null,7,null,OVC,null,null,null,500,null,null,null,null,null,null,null,null,null,null,21.8,KMSP 011045Z 26006KT 7SM OVC005 M02/M03 A2979 RMK AO2 T10171033,null
MSP,1/1/23 4:53,28.9,26.1,89.12,270,6,0,29.79,1009.9,8,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,21.8,KMSP 011053Z 27006KT 8SM OVC007 M02/M03 A2979 RMK AO2 SLP099 T10171033,null
MSP,1/1/23 5:53,28.9,25,85.14,270,6,0,29.81,1010.4,9,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,21.8,KMSP 011153Z 27006KT 9SM OVC008 M02/M04 A2981 RMK AO2 SLP104 4/006 T10171039 10017 21022 53011,6
MSP,1/1/23 6:53,28,25,88.33,240,7,0,29.84,1011.5,9,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,19.9,KMSP 011253Z 24007KT 9SM OVC008 M02/M04 A2984 RMK AO2 SLP115 T10221039,null
